"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2";"SMD_Packages:SMD-1210";2;"10u/25V";;;
2;"C3,C16,C18,C22,C31";"SMD_Packages:SMD-0805";5;"1uF";;;
3;"C5";"SMD_Packages:SMD-0805";1;"8.2nF";;;
4;"C6";"SMD_Packages:SMD-0805";1;"10uF/10V";;;
5;"C7,C8,C9,C10,C12,C13,C17,C21,C23,C24,C25,C26,C27,C28,C29,C33";"SMD_Packages:SMD-0805";16;"100nF";;;
6;"C11";"SMD_Packages:SMD-0805";1;"10pF";;;
7;"C14,C15,C4";"SMD_Packages:SMD-1210";3;"22uF/10V";;;
8;"C19,C20";"SMD_Packages:SMD-0805";2;"22pF";;;
9;"C30,C34";"SMD_Packages:SMD-0805";2;"4u7";;;
10;"C32";"SMD_Packages:SMD-0805";1;"8p2";;;
11;"D2";"LEDs:LED-0805";1;"blue";;;
12;"D4";"LEDs:LED-0805";1;"yellow";;;
13;"D5,D6";"LEDs:LED-0805";2;"green";;;
14;"D7";"LEDs:LED-0805";1;"red";;;
15;"J1";"Connect:USB_B";1;"USB";;;
16;"L1";"My:L_XAL4030";1;"3u3/5A";;;
17;"L2,L3";"Resistors_SMD:R_0805";2;"600R/1A";;;
18;"P1";"My:LP_KLEMME_5.08_2";1;"BAT";;;
19;"P4";"Pin_Headers:Pin_Header_Straight_2x03";1;"ISP";;;
20;"P7";"Pin_Headers:Pin_Header_Straight_1x01";1;"IO8";;;
21;"P8";"Pin_Headers:Pin_Header_Straight_1x01";1;"IO9";;;
22;"P9";"Pin_Headers:Pin_Header_Straight_1x01";1;"IO10";;;
23;"P10";"Pin_Headers:Pin_Header_Straight_1x01";1;"D5";;;
24;"P11";"Pin_Headers:Pin_Header_Straight_1x01";1;"D3/SCL";;;
25;"P12";"Pin_Headers:Pin_Header_Straight_1x01";1;"D2/SDA";;;
26;"P13";"Pin_Headers:Pin_Header_Straight_1x01";1;"D4";;;
27;"P14";"Pin_Headers:Pin_Header_Straight_1x01";1;"D6";;;
28;"P15";"Pin_Headers:Pin_Header_Straight_1x01";1;"D7";;;
29;"P16";"Pin_Headers:Pin_Header_Straight_1x01";1;"A4";;;
30;"P17";"Pin_Headers:Pin_Header_Straight_1x01";1;"A3";;;
31;"P18";"Pin_Headers:Pin_Header_Straight_1x01";1;"A2";;;
32;"P19";"Pin_Headers:Pin_Header_Straight_1x01";1;"A1";;;
33;"P20";"Pin_Headers:Pin_Header_Straight_1x01";1;"A0";;;
34;"R1,R2";"Resistors_SMD:R_0805";2;"33k";;;
35;"R3,R7,R13,R16,R21,R22,R24";"Resistors_SMD:R_0805";7;"10k";;;
36;"R4,R19,R20,R23";"Resistors_SMD:R_0805";4;"4k7";;;
37;"R5";"Resistors_SMD:R_0805";1;"124k";;;
38;"R6";"Resistors_SMD:R_0805";1;"22k1";;;
39;"R8,R10";"Resistors_SMD:R_0805";2;"CG0603MLC_05E";;;
40;"R9,R14,R15,R17,R18";"Resistors_SMD:R_0805";5;"1k";;;
41;"R11,R12";"Resistors_SMD:R_0805";2;"22R";;;
42;"SW1";"Discret:SW_PUSH_SMALL";1;"RESET";;;
43;"SW2";"Discret:SW_PUSH_SMALL";1;"SW";;;
44;"T1,T2";"SMD_Packages:DPAK-3_GDS";2;"FDD4243";;;
45;"U1";"SMD_Packages:DPAK-3";1;"NCP1117ST33T3G";;;
46;"U2,U3,U6,U7";"SMD_Packages:SO-16-N";4;"74HC595";;;
47;"U4,U5,U8,U9";"SMD_Packages:SO-16-N";4;"ULN2003";;;
48;"U10";"SMD_Packages:TQFP-44";1;"ATmega32U4";;;
49;"U11";"My:XBEE_PRO_868";1;"XBEE868";;;
50;"U12";"SMD_Packages:SO-28";1;"FT232RL";;;
51;"X1";"Crystals:Crystal_SMD_0603_2Pads_obsolete";1;"16MHz";;;
52;"D3";"My:SOD-123";1;"1N4148W";;;
53;"IC1";"SMD_Packages:SSOP8-9";1;"TPS54527";;;
54;"P2,P3,P5,P6";"My:RIA_8_3.5_TYP59";4;"CONN_8";;;
55;"HOLE_M3,HOLE_M3,HOLE_M3,HOLE_M3";"My:HOLE_M3";4;"VAL**";;;
56;"D1";"My:SOD-323";1;"BZX384V12";;;
57;"P21";"Pin_Headers:Pin_Header_Straight_1x01";1;"12V";;;
58;"P22";"Pin_Headers:Pin_Header_Straight_1x01";1;"5VA";;;
59;"P23";"Pin_Headers:Pin_Header_Straight_1x01";1;"5V";;;
60;"P24";"Pin_Headers:Pin_Header_Straight_1x01";1;"3.3V";;;
61;"P25";"Pin_Headers:Pin_Header_Straight_1x01";1;"GND";;;
